,0,1
123,cabinet,colour
124,cable,combination
125,cake,comfort
126,camera,comment
127,camp,commission
128,canal,commitment
129,cancer,committee
130,candidate,communication
131,candle,community
132,capital,comparison
133,captain,compensation
134,card,complaint
135,career,completion
136,caroline,complex
137,carpet,complexity
138,carriage,compliance
139,carrier,component
140,cash,composition
141,cast,compound
142,castle,compromise
143,catalogue,computer
144,cathedral,concentration
145,cattle,concept
146,ceiling,conception
147,centre,concern
148,century,concession
149,ceremony,conclusion
150,chain,condition
151,chair,conduct
152,chairman,confidence
153,chamber,conflict
154,champagne,confusion
155,champion,connection
156,championship,consciousness
157,chancellor,consensus
158,channel,consent
159,chapel,consequence
160,chapter,consideration
161,character,constitution
162,charity,constraint
163,charles,construction
164,charlie,consultation
165,chart,consumer
166,cheek,consumption
167,chest,contact
168,chief,contempt
169,child,content
170,chin,contents
171,china,context
172,chip,contradiction
173,christ,contrast
174,christian,contribution
175,church,control
176,cigarette,controversy
177,circle,conversation
178,circuit,conversion
179,citizen,conviction
180,city,copy
181,clarke,core
182,clash,cost
183,class,counter
184,clerk,courage
185,cliff,course
186,clinic,coverage
187,clinton,creation
188,clock,credit
189,cloth,creditor
190,clothes,crime
191,cloud,crisis
192,club,criterion
193,coach,criticism
194,coal,crop
195,coast,culture
196,coat,curiosity
197,coffee,currency
198,coffin,current
199,coin,curriculum
200,collar,curve
201,colleague,custom
202,collection,customer
203,collector,cycle
204,college,damage
205,colony,damages
206,column,danger
207,command,database
208,commander,date
209,commentator,datum
210,commissioner,deal
211,companion,debate
212,company,debt
213,competition,decision
214,competitor,declaration
215,concert,decline
216,conference,decree
217,congress,defect
218,conservative,defence
219,constable,defendant
220,constituency,deficit
221,consultant,definition
222,container,degree
223,contest,delay
224,continent,delivery
225,contract,demand
226,convention,democracy
227,cook,demonstration
228,corbett,deposit
229,corner,depression
230,corp,depth
231,corporation,description
232,corpse,design
233,corridor,desire
234,cottage,destruction
235,council,detail
236,councillor,determination
237,count,development
238,country,device
239,countryside,dialogue
240,county,diet
241,couple,difference
242,court,difficulty
243,cousin,dilemma
244,cover,dimension
245,crack,direction
246,craft,directive
247,crash,disappointment
248,cream,disaster
249,creature,discipline
250,crew,discourse
251,critic,discovery
252,cross,discretion
253,crowd,discrimination
254,crown,discussion
255,cupboard,disease
256,curtain,disk
257,dance,disorder
258,dancer,display
259,darkness,dispute
260,daughter,distance
261,david,distinction
262,dawn,distribution
263,dealer,dividend
264,death,doctrine
265,decade,document
266,deck,domain
267,defeat,dose
268,defender,doubt
269,delegate,drug
270,delegation,duty
271,delight,earnings
272,democrat,ease
273,department,economy
274,departure,education
275,depths,effect
276,deputy,effectiveness
277,designer,efficiency
278,desk,effort
279,detective,electricity
280,developer,element
281,diana,embarrassment
282,diary,emission
283,dinner,emotion
284,director,emphasis
285,disc,employment
286,dish,energy
287,district,enquiry
288,division,enterprise
289,doctor,enthusiasm
290,dollar,entity
291,door,entry
292,doorway,envelope
293,downstairs,environment
294,draft,equation
295,drama,equipment
296,draw,equivalent
297,drawing,error
298,dream,essay
299,dress,establishment
300,drink,estimate
301,drive,evaluation
302,driver,event
303,drop,evidence
304,duke,evolution
305,dust,examination
306,earl,example
307,earth,excess
308,east,exchange
309,edge,excitement
310,edition,exercise
311,editor,existence
312,edward,expansion
313,elbow,expectation
314,election,expenditure
315,eliot,expense
316,elizabeth,experience
317,embassy,experiment
318,emily,expert
319,emperor,expertise
320,empire,explanation
321,employee,export
322,employer,exposure
323,enemy,expression
324,engine,extension
325,engineer,extent
326,england,fact
327,english,factor
328,entrance,failure
329,episode,faith
330,estate,fate
331,europe,fault
332,evening,favour
333,executive,fear
334,exhibition,feeling
335,expedition,fibre
336,explosion,file
337,eyebrow,filter
338,fabric,finance
339,face,finding
340,facility,flavour
341,faction,flow
342,factory,focus
343,fall,food
344,family,form
345,farm,format
346,farmer,formation
347,fashion,formula
348,father,fraction
349,feature,framework
350,february,freedom
351,fellow,frequency
352,female,frustration
353,fence,fuel
354,festival,function
355,field,fund
356,fight,future
357,fighting,gain
358,figure,gaze
359,film,generation
360,final,gesture
361,finger,goal
362,fire,goods
363,firm,government
364,fish,grounds
365,fist,growth
366,flag,guidance
367,flame,guideline
368,flat,guilt
369,fleet,habit
370,flesh,handle
371,flight,happiness
372,flood,harm
373,floor,health
374,flower,hearing
375,foot,heat
376,football,height
377,force,help
378,ford,hierarchy
379,forehead,hint
380,forest,history
381,fortune,hostility
382,forward,housing
383,foundation,human
384,fragment,hypothesis
385,frame,idea
386,france,ideal
387,francis,identification
388,french,identity
389,friend,ideology
390,friendship,illness
391,front,image
392,fruit,imagination
393,furniture,impact
394,gallery,implementation
395,game,implication
396,gang,import
397,garage,importance
398,garden,impression
399,garment,improvement
400,gate,impulse
401,gear,incentive
402,gene,incidence
403,gentleman,incident
404,george,income
405,german,increase
406,germany,independence
407,ghost,index
408,gift,individual
409,girl,industry
410,glance,inequality
411,glass,infection
412,glimpse,inflation
413,glory,influence
414,glove,information
415,gold,ingredient
416,gorbachev,initiative
417,governor,injunction
418,grade,injury
419,graham,innovation
420,grain,input
421,grant,inquiry
422,grass,insect
423,grave,insider
424,green,insight
425,grin,inspection
426,grip,instance
427,ground,instinct
428,group,institution
429,guard,instruction
430,guest,instrument
431,guide,insurance
432,guitar,integration
433,gulf,intelligence
434,hair,intensity
435,half,intention
436,hall,interaction
437,hand,interest
438,handful,interface
439,harry,interpretation
440,head,interval
441,headline,intervention
442,headquarters,introduction
443,heap,invasion
444,heart,investigation
445,heaven,investment
446,heel,involvement
447,helen,isolation
448,helicopter,issue
449,hell,item
450,henry,joke
451,hero,journal
452,hill,judgement
453,historian,judgment
454,hitler,jurisdiction
455,hold,justice
456,holder,kind
457,holding,knowledge
458,hole,lack
459,holiday,language
460,home,layer
461,honour,leadership
462,hook,legislation
463,hope,length
464,horizon,lesson
465,horn,level
466,horror,liability
467,horse,licence
468,hospital,life
469,host,lifespan
470,hotel,lifetime
471,hour,limit
472,house,limitation
473,household,link
474,howard,links
475,hundred,list
476,hunt,literature
477,husband,load
478,inch,logic
479,india,loss
480,inhabitant,loyalty
481,inspector,machinery
482,institute,maintenance
483,interior,majority
484,interview,management
485,investor,manner
486,invitation,market
487,iraq,mass
488,ireland,material
489,isabel,matter
490,island,maximum
491,israel,meaning
492,italy,means
493,jack,measure
494,jacket,measurement
495,jackson,mechanism
496,james,media
497,jane,medicine
498,japan,medium
499,jesus,membership
500,john,memory
501,johnson,merger
502,joint,merit
503,jones,mess
504,joseph,message
505,journalist,method
506,journey,mind
507,judge,minimum
508,juice,ministry
509,june,minority
510,jury,mission
511,kate,mistake
512,kelly,mixture
513,kick,mode
514,killer,model
515,killing,module
516,king,molecule
517,kingdom,moment
518,kinnock,momentum
519,kiss,money
520,kitchen,monopoly
521,knee,mood
522,knife,mortgage
523,knight,motion
524,knot,motive
525,kong,movement
526,label,muscle
527,laboratory,myth
528,labour,nature
529,ladder,necessity
530,lady,need
531,lake,negotiation
532,lamb,nerve
533,lamp,network
534,land,noise
535,landing,norm
536,landlord,note
537,landscape,notice
538,lane,notion
539,laugh,number
540,laughter,object
541,launch,objection
542,laura,objective
543,lawyer,obligation
544,lead,observation
545,leader,obstacle
546,leaf,occupation
547,leaflet,offence
548,league,offender
549,lease,offer
550,lecture,operation
551,leeds,opinion
552,left,opportunity
553,let,opposition
554,letter,option
555,lewis,order
556,library,organisation
557,lift,organism
558,light,organization
559,lily,origin
560,limb,other
561,line,outcome
562,liverpool,outline
563,living,output
564,loan,ownership
565,location,package
566,lock,packet
567,london,page
568,look,pain
569,lord,panic
570,lorry,paragraph
571,love,parameter
572,lover,parent
573,lucy,participant
574,luke,participation
575,lunch,particle
576,machine,passage
577,magazine,passion
578,maggie,past
579,magistrate,path
580,mail,patient
581,major,pattern
582,maker,payment
583,male,peace
584,manager,penalty
585,manufacturer,pension
586,march,people
587,margin,percentage
588,marie,perception
589,mark,performance
590,marriage,period
591,martin,permission
592,marx,person
593,mary,personality
594,mask,personnel
595,master,perspective
596,match,petition
597,meal,phase
598,meat,phenomenon
599,medal,philosophy
600,meeting,phrase
601,member,plaintiff
602,menu,plan
603,metal,planning
604,metre,platform
605,michael,pleasure
606,middle,plenty
607,mile,plot
608,milk,point
609,mill,policy
610,miller,politics
611,million,poll
612,mine,pollution
613,miner,popularity
614,minister,population
615,minute,portfolio
616,mirror,position
617,missile,possession
618,mist,possibility
619,monster,potential
620,month,poverty
621,moon,power
622,morgan,practice
623,morning,practitioner
624,moscow,prayer
625,mother,preference
626,motor,premise
627,mountain,premium
628,mouse,preparation
629,mouth,presence
630,move,present
631,movie,presentation
632,mungo,pressure
633,murder,price
634,museum,principle
635,music,print
636,mystery,priority
637,nail,privilege
638,name,problem
639,nation,procedure
640,neck,proceedings
641,needle,process
642,neighbour,processor
643,nest,product
644,news,production
645,newspaper,profession
646,nigel,profit
647,night,program
648,north,programme
649,nose,progress
650,novel,project
651,nurse,promise
652,observer,promotion
653,occasion,proof
654,ocean,property
655,office,proportion
656,officer,proposal
657,official,proposition
658,open,prosecution
659,opening,prospects
660,operator,protection
661,opponent,protein
662,organ,protest
663,organiser,protocol
664,owner,provision
665,oxford,public
666,pace,publication
667,pack,publicity
668,paint,pulse
669,painting,punishment
670,pair,purchase
671,palace,purchaser
672,palm,purpose
673,panel,pursuit
674,paper,qualification
675,papers,quality
676,paris,quantity
677,park,question
678,parliament,questionnaire
679,part,range
680,partner,rank
681,partnership,rate
682,party,rating
683,pass,ratio
684,passenger,reaction
685,patch,reader
686,patrick,reading
687,paul,reality
688,pavement,reason
689,peak,receipt
690,peasant,reception
691,penny,recession
692,peter,recognition
693,philip,recommendation
694,phone,recovery
695,photograph,reduction
696,photographer,reference
697,picture,referendum
698,piece,reflection
699,pile,reform
700,pillow,refusal
701,pilot,regime
702,pint,register
703,pipe,regulation
704,pitch,rejection
705,place,relation
706,plane,relationship
707,planet,relative
708,plant,release
709,plate,relief
710,play,religion
711,player,remark
712,pocket,remedy
713,poem,removal
714,poet,rent
715,poetry,replacement
716,pole,reply
717,police,report
718,policeman,representation
719,politician,reputation
720,pond,request
721,pool,requirement
722,pope,research
723,port,resistance
724,portion,resolution
725,portrait,resource
726,post,respect
727,poster,response
728,potato,responsibility
729,pound,restriction
730,president,result
731,press,revenue
732,prey,review
733,pride,revolution
734,priest,reward
735,prime,rights
736,prince,rise
737,princess,risk
738,prison,ritual
739,prisoner,role
740,prize,root
741,producer,routine
742,professional,rule
743,profile,rumour
744,prospect,safety
745,province,salary
746,publisher,sale
747,punch,sample
748,pupil,sanction
749,quarter,satisfaction
750,queen,savings
751,rabbit,scale
752,race,schedule
753,rachel,scheme
754,radio,science
755,rage,scope
756,raid,search
757,rail,section
758,railway,sector
759,rain,security
760,rally,selection
761,rebel,self
762,receiver,sensation
763,recipe,sense
764,record,senses
765,recording,sensitivity
766,refugee,sentence
767,region,separation
768,remainder,sequence
769,remains,service
770,reporter,setting
771,representative,shape
772,republic,share
773,researcher,shareholder
774,reserve,shift
775,resident,shock
776,resignation,shortage
777,rest,sign
778,restaurant,signal
779,retirement,significance
780,return,silence
781,rhythm,situation
782,richard,size
783,ride,skill
784,rider,smell
785,ridge,society
786,right,software
787,ring,soil
788,rival,solution
789,river,sort
790,road,source
791,robert,space
792,robyn,specification
793,rock,spectrum
794,roll,speculation
795,rome,speech
796,roof,speed
797,room,spending
798,rope,sphere
799,rose,spirit
800,round,spread
801,route,stability
802,russia,stance
803,russian,standard
804,ruth,state
805,salt,statement
806,sand,statistics
807,sarah,status
808,scandal,statute
809,scene,stem
810,scent,step
811,scholar,stimulus
812,school,strain
813,scientist,strategy
814,score,strength
815,scot,stress
816,scotland,structure
817,scott,struggle
818,screen,study
819,script,stuff
820,seal,style
821,season,subject
822,seat,subsidy
823,second,substance
824,seconds,success
825,secret,succession
826,secretary,suggestion
827,seed,sunlight
828,seller,supplies
829,sergeant,supply
830,series,support
831,servant,surface
832,session,surgery
833,settlement,surplus
834,shadow,survey
835,shaft,survival
836,sheep,suspicion
837,sheet,symbol
838,shelf,sympathy
839,shell,symptom
840,shelter,system
841,ship,tactic
842,shirt,target
843,shoe,task
844,shop,taste
845,shore,teaching
846,shot,technique
847,shoulder,technology
848,show,temperature
849,side,tendency
850,sigh,tension
851,sight,term
852,signature,test
853,simon,text
854,sister,thanks
855,site,theory
856,skin,thesis
857,skirt,thing
858,sleep,thinking
859,sleeve,thought
860,slice,thread
861,slide,threat
862,slope,time
863,smile,tissue
864,smith,tone
865,smoke,tool
866,snow,topic
867,sofa,total
868,soldier,trace
869,solicitor,trade
870,song,tradition
871,soul,traffic
872,sound,training
873,south,transaction
874,spain,transfer
875,speaker,transformation
876,specialist,transition
877,species,transport
878,specimen,treatment
879,spell,treaty
880,spine,trend
881,spokesman,trial
882,sport,tribunal
883,spot,trouble
884,spring,trust
885,squad,truth
886,square,turnover
887,staff,type
888,stage,uncertainty
889,stair,understanding
890,stake,unemployment
891,stand,uniform
892,star,unit
893,start,unity
894,station,universe
895,statue,user
896,stephen,validity
897,stick,value
898,stitch,variable
899,stock,variation
900,stomach,variety
901,stone,vehicle
902,stop,vendor
903,store,verdict
904,storm,view
905,story,viewer
906,strand,violence
907,stranger,virtue
908,stream,virus
909,street,vision
910,stretch,volume
911,strike,vote
912,string,voter
913,strip,wages
914,stroke,warmth
915,student,warning
916,studio,warrant
917,subsidiary,waste
918,successor,wave
919,sugar,weakness
920,suicide,wealth
921,suit,weapon
922,summer,weather
923,summit,weight
924,supplier,welfare
925,supporter,whole
926,surprise,will
927,susan,willingness
928,sweat,wish
929,switch,withdrawal
930,sword,word
931,table,work
932,tail,worth
933,tale,writing
934,talent,
935,talk,
936,tank,
937,tape,
938,taxi,
939,taylor,
940,teacher,
941,team,
942,tear,
943,teenager,
944,telephone,
945,television,
946,temple,
947,tenant,
948,tent,
949,terrace,
950,territory,
951,terror,
952,thatcher,
953,theatre,
954,theme,
955,thief,
956,thigh,
957,thomas,
958,thousand,
959,throat,
960,thumb,
961,ticket,
962,tide,
963,tile,
964,times,
965,title,
966,tongue,
967,tonne,
968,tony,
969,tooth,
970,torch,
971,tory,
972,touch,
973,tour,
974,tourist,
975,tournament,
976,towel,
977,tower,
978,town,
979,track,
980,trading,
981,tragedy,
982,trail,
983,train,
984,trap,
985,traveller,
986,tray,
987,treasury,
988,tree,
989,trick,
990,trip,
991,triumph,
992,troops,
993,trophy,
994,trousers,
995,truck,
996,trustee,
997,tube,
998,tune,
999,tunnel,
1000,turn,
1001,union,
1002,university,
1003,valley,
1004,vein,
1005,venture,
1006,verse,
1007,version,
1008,vessel,
1009,victim,
1010,victory,
1011,video,
1012,villa,
1013,village,
1014,visit,
1015,visitor,
1016,voice,
1017,volunteer,
1018,waist,
1019,wales,
1020,walk,
1021,walker,
1022,wall,
1023,ward,
1024,washington,
1025,watch,
1026,water,
1027,waters,
1028,week,
1029,weekend,
1030,west,
1031,wheel,
1032,while,
1033,whilst,
1034,white,
1035,wicket,
1036,wife,
1037,william,
1038,williams,
1039,willie,
1040,wilson,
1041,wind,
1042,window,
1043,wine,
1044,wing,
1045,winner,
1046,winter,
1047,wire,
1048,witness,
1049,woman,
1050,wood,
1051,worker,
1052,workshop,
1053,world,
1054,wound,
1055,wright,
1056,wrist,
1057,writer,
1058,yard,
1059,year,
1060,york,
1061,youngster,
1062,youth,
1063,zone,
